Table S1. List of candidate imprinted genes identified in this study for Arabidopsis. Genes are sorted with decreasing probability of being imprinted in Gehring, Hsieh, and Pignatta datasets. Wolff is listed as additional information.																												
	Gehring						Hsieh						Pignatta						Combined (Gehring, Hsieh, Pignatta)				Wolff					
AT3G26090	-0.13	0.649822087	0.917061821	PEG	1.77	8037.5	0.00	0.994543149	0.999495234	PEG	0.00	7759	-0.08	0.896512247	1	PEG	0.61	7742	0.763732142	7846.2	NA	NA	6.10	0.000504325	0.001493105	MEG	97.38	4669.5
AT1G27190	-0.04	0.858068583	0.974281475	PEG	0.16	9990	-0.08	0.73187922	0.970703423	PEG	0.68	5825	-0.17	0.639903612	1	PEG	2.84	7742	0.833103974	7852.3	AT1G27190.1	Leucine-rich repeat protein kinase family protein	1.46	2.57E-11	1.98E-10	MEG	67.94	1793
AT5G54960	0.09	0.680232061	0.928557734	MEG	0.77	8310	-0.02	0.954020744	0.997141806	PEG	0.03	7505.5	-0.19	0.738795093	1	PEG	3.53	7742	0.626002522	7852.5	AT5G54960.1	pyruvate decarboxylase-2	1.10	3.60E-05	0.000132875	MEG	54.64	3747.5
AT3G10850	-0.07	0.762230075	0.950540492	PEG	0.50	9096	0.05	0.85556599	0.991345627	MEG	0.21	6724	0.02	0.967598861	1	MEG	0.03	7742	0.661777019	7854.0	NA	NA	1.76	4.10E-28	8.70E-27	MEG	75.60	651
AT4G02370	-0.09	0.658594852	0.9213389	PEG	0.86	8109	0.02	0.98855876	0.99790905	MEG	0.02	7713.5	0.09	0.78547477	1	MEG	0.80	7742	0.666203302	7854.8	AT4G02370.1	Protein of unknown function, DUF538	0.55	0.112355839	0.173065043	MEG	23.27	8975.5
AT2G21870	-0.02	0.914049325	0.983606508	PEG	0.02	10540.5	0.10	0.65242796	0.962439263	MEG	0.94	5285.5	-0.08	0.835758967	1	PEG	0.57	7742	0.603484948	7856.0	AT2G21870.1	"copper ion binding;cobalt ion binding;zinc ion binding"	0.49	1.08E-05	4.35E-05	MEG	19.38	3434
AT5G54140	0.00	0.994458467	0.999295655	MEG	0.00	11283	-0.23	0.548158945	0.942986255	PEG	4.83	4546.5	0.13	0.766783174	1	MEG	1.63	7742	0.682707449	7857.2	AT5G54140.1	IAA-leucine-resistant (ILR1)-like 3	0.04	0.84390385	0.879461418	MEG	0.17	13267
AT4G00800	0.03	0.87859959	0.97766693	MEG	0.12	10200	-0.11	0.699098279	0.967534471	PEG	1.30	5630.5	0.12	0.770920998	1	MEG	1.35	7742	0.621110884	7857.5	AT4G00800.1	transducin family protein / WD-40 repeat family protein	1.10	0.000509168	0.00150583	MEG	54.80	4674.5
AT1G74260	-0.04	0.874448519	0.9767601	PEG	0.18	10155	-0.10	0.708871889	0.968987559	PEG	0.96	5676	-0.09	0.800635292	1	PEG	0.75	7742	0.802834064	7857.7	AT1G74260.1	purine biosynthesis 4	-0.70	0.000319039	0.000985485	PEG	33.05	4476
AT3G11290	0.02	0.942937489	0.990437997	MEG	0.03	10796.5	0.12	0.620176482	0.956438206	MEG	1.52	5041.5	0.30	0.45730629	1	MEG	8.50	7742	0.340058293	7860.0	NA	NA	0.82	0.000684571	0.001976379	MEG	40.26	4789
AT2G26280	0.09	0.748509258	0.946104358	MEG	0.72	8973	-0.03	0.879037183	0.991972801	PEG	0.08	6870.5	0.19	0.615140151	1	MEG	3.35	7742	0.483676007	7861.8	AT2G26280.1	CTC-interacting domain 7	0.46	0.32762599	0.4100812	MEG	17.20	11046
AT3G27420	0.01	0.959857136	0.993490236	MEG	0.01	10958.5	-0.13	0.599581781	0.955139066	PEG	1.64	4890	0.08	0.861509842	1	MEG	0.58	7742	0.694882785	7863.5	NA	NA	0.29	0.116133637	0.177814359	MEG	7.81	9030
AT5G25250	-0.05	0.942913522	0.990437997	PEG	0.27	10796.5	-0.40	0.620812059	0.956757824	PEG	13.99	5056	-0.64	0.530284583	1	PEG	29.29	7742	0.853095844	7864.8	AT5G25250.1	SPFH/Band 7/PHB domain-containing membrane-associated protein family	NA	NA	NA	NA	NA	6913
AT1G59510	0.20	0.823843961	0.967527968	MEG	3.92	9676	-0.16	0.777133661	0.978888073	PEG	2.64	6178.5	1.02	0.580336683	1	MEG	51.05	7742	0.514379057	7865.5	AT1G59510.1	Carbohydrate-binding protein	-1.01	0.052287475	0.091301671	PEG	50.43	7918
AT5G24470	-0.02	0.9037828	0.981701812	PEG	0.06	10445	-0.09	0.66253308	0.96288166	PEG	0.73	5410	-0.14	0.837492637	1	PEG	1.84	7742	0.797158559	7865.7	AT5G24470.1	pseudo-response regulator 5	NA	NA	NA	NA	NA	6913
AT5G64780	-0.07	0.814200813	0.964371814	PEG	0.49	9564.5	0.23	0.792168069	0.980007276	MEG	4.99	6294	-0.17	0.756167542	1	PEG	2.81	7742	0.697288919	7866.8	AT5G64780.1	Uncharacterised conserved protein UCP009193	-0.23	0.760720427	0.810864283	PEG	4.95	12970
AT5G07740	-0.04	0.872420414	0.976493674	PEG	0.13	10112.5	-0.08	0.716937026	0.970537884	PEG	0.61	5751.5	0.11	0.752816577	1	MEG	1.15	7742	0.67828645	7868.7	AT5G07740.1	actin binding	4.06	0.106916945	0.166280504	MEG	94.28	8889.5
AT5G46250	-0.04	0.831066701	0.969501094	PEG	0.13	9723.5	0.10	0.771601868	0.978493786	MEG	0.92	6142	0.09	0.788848745	1	MEG	0.83	7742	0.564539816	7869.2	AT5G46250.1	RNA-binding protein	1.35	9.59E-05	0.000325281	MEG	64.63	4077.5
AT5G52440	-0.01	0.960940745	0.993509801	PEG	0.01	10978.5	-0.17	0.600460942	0.955139066	PEG	2.74	4890	0.18	0.596049682	1	MEG	3.30	7742	0.616709872	7870.2	AT5G52440.1	Bacterial sec-independent translocation protein mttA/Hcf106	0.03	0.878024911	0.907021251	MEG	0.10	13384
AT5G14530	-0.07	0.906192225	0.982596157	PEG	0.47	10460	-0.30	0.659297099	0.96288166	PEG	8.49	5410	0.65	0.70893686	1	MEG	29.91	7742	0.665696439	7870.7	AT5G14530.1	Transducin/WD40 repeat-like superfamily protein	NA	NA	NA	NA	NA	6913
AT4G23860	0.07	0.686619404	0.930006165	MEG	0.55	8370.5	-0.01	0.971069995	0.997141806	PEG	0.01	7505.5	0.00	0.993230755	1	MEG	0.00	7742	0.560932003	7872.7	AT4G23860.1	PHD finger protein-related	0.11	0.530232523	0.608836048	MEG	1.14	12041
AT5G39600	0.03	0.922233602	0.986225676	MEG	0.07	10606	0.14	0.651168675	0.962138052	MEG	2.05	5272.5	-0.19	0.759894662	1	PEG	3.36	7742	0.57646672	7873.5	AT5G39600.1		0.41	0.055689017	0.096413267	MEG	14.29	7986
AT5G62190	0.04	0.853167914	0.97343223	MEG	0.15	9934.5	-0.09	0.745170376	0.973779604	PEG	0.76	5953	-0.19	0.57256836	1	PEG	3.60	7742	0.768957139	7876.5	AT5G62190.1	DEAD box RNA helicase (PRH75)	-1.35	2.81E-17	3.38E-16	PEG	64.68	1151
AT5G24870	0.08	0.780253296	0.954357452	MEG	0.56	9269.5	0.07	0.839341948	0.98631748	MEG	0.54	6621	0.59	0.151615615	1	MEG	26.09	7742	0.186438904	7877.5	AT5G24870.1	RING/U-box superfamily protein	3.13	1.67E-13	1.55E-12	MEG	90.73	1493
AT2G46270	0.12	0.666994949	0.923286401	MEG	1.39	8200.5	0.00	0.984566336	0.99780833	MEG	0.00	7691.5	-0.29	0.533263483	1	PEG	7.72	7742	0.645062326	7878.0	NA	NA	4.59	9.69E-11	7.04E-10	MEG	95.47	1904
AT3G07680	0.08	0.661980494	0.921669908	MEG	0.61	8133.5	0.00	0.995146747	0.999495234	PEG	0.00	7759	0.14	0.650567232	1	MEG	1.89	7742	0.442033396	7878.2	NA	NA	NA	NA	NA	NA	NA	6913
AT4G18710	0.05	0.829142359	0.968755813	MEG	0.22	9705.5	-0.15	0.777782636	0.979165464	PEG	2.23	6189	-0.15	0.714320771	1	PEG	2.29	7742	0.72664101	7878.8	AT4G18710.1	Protein kinase superfamily protein	4.38	4.73E-16	5.29E-15	MEG	95.05	1237
AT3G48280	0.11	0.673367045	0.92525771	MEG	1.14	8255	-0.01	0.981124954	0.9977839	PEG	0.01	7643	0.11	0.770712743	1	MEG	1.21	7742	0.48955549	7880.0	AT3G48280.1	cytochrome P450, family 71, subfamily A, polypeptide 25	-3.54	7.09E-30	1.58E-28	PEG	92.61	620
AT5G47520	-0.13	0.713344197	0.935946766	PEG	1.73	8650.5	0.02	0.927484317	0.994850852	MEG	0.04	7253	0.36	0.421587512	1	MEG	11.28	7742	0.477500703	7881.8	AT5G47520.1	RAB GTPase homolog A5A	0.22	0.499322075	0.579017614	MEG	4.69	11922.5
AT5G25820	0.17	0.738071044	0.942409051	MEG	2.73	8887	0.06	0.894213064	0.992551025	MEG	0.35	7020	-0.30	0.559855095	1	PEG	8.30	7742	0.64147675	7883.0	AT5G25820.1	Exostosin family protein	1.14	0.007938085	0.017759218	MEG	56.32	6180
AT4G29790	-0.16	0.81166924	0.964208231	PEG	2.49	9548.5	-0.10	0.799335614	0.980171397	PEG	1.07	6359	0.65	0.571719341	1	MEG	29.85	7742	0.600518943	7883.2	AT4G29790.1		0.47	0.551421574	0.628676069	MEG	17.88	12127
AT3G45900	0.05	0.886634943	0.978919208	MEG	0.24	10298	0.11	0.696392392	0.966908324	MEG	1.15	5612	0.30	0.664461018	1	MEG	8.39	7742	0.42985782	7884.0	AT3G45900.1	Ribonuclease P protein subunit P38-related	5.65	0.00295414	0.007392568	MEG	96.96	5525
AT2G31610	0.06	0.944930807	0.99088011	MEG	0.37	10817	-0.42	0.626741507	0.958379347	PEG	15.06	5093.5	0.12	0.940901142	1	MEG	1.39	7742	0.709166373	7884.2	NA	NA	NA	NA	NA	NA	NA	6913
AT3G09000	-0.24	0.756781279	0.949366296	PEG	5.40	9042	0.08	0.867382529	0.991972801	MEG	0.64	6870.5	0.15	0.865940321	1	MEG	2.08	7742	0.636700447	7884.8	NA	NA	1.46	0.000314295	0.000971483	MEG	68.21	4472.5
AT1G02890	-0.02	0.911568629	0.983232184	PEG	0.04	10509	0.09	0.657930676	0.96288166	MEG	0.74	5410	0.00	0.999624048	1	MEG	0.00	7742	0.56612419	7887.0	AT1G02890.1	AAA-type ATPase family protein	0.45	0.143066845	0.211002607	MEG	17.08	9374.5
AT1G75010	0.09	0.797192988	0.958471957	MEG	0.88	9428.5	0.11	0.820384888	0.984264867	MEG	1.19	6497	0.01	0.984622963	1	MEG	0.01	7742	0.538800926	7889.2	AT1G75010.1	GTP binding	0.08	0.898309469	0.922461877	MEG	0.62	13464
AT2G16780	0.14	0.691196794	0.931026348	MEG	1.97	8421	-0.01	0.965223153	0.997141806	PEG	0.01	7505.5	0.12	0.880447179	1	MEG	1.37	7742	0.533108014	7889.5	AT2G16780.1	Transducin family protein / WD-40 repeat family protein	-0.56	0.051698876	0.090399477	PEG	23.59	7907
AT3G04380	0.14	0.681607003	0.928928059	MEG	1.80	8322.5	-0.02	0.974069041	0.997753199	PEG	0.04	7608	0.78	0.42772346	1	MEG	37.54	7742	0.362160705	7890.8	NA	NA	-1.57	0.000484479	0.001441449	PEG	71.23	4647
AT5G42770	-0.15	0.726886584	0.939195471	PEG	2.11	8773.5	-0.04	0.92095883	0.994808813	PEG	0.16	7159	-0.64	0.404917897	1	PEG	29.37	7742	0.858267416	7891.5	AT5G42770.1	Maf-like protein	0.33	0.421936559	0.504165142	MEG	9.87	11571
AT5G05010	0.04	0.8252262	0.967527968	MEG	0.14	9676	0.06	0.784505229	0.979941507	MEG	0.40	6257.5	0.03	0.92797902	1	MEG	0.08	7742	0.521197708	7891.8	AT5G05010.1	clathrin adaptor complexes medium subunit family protein	0.84	6.32E-06	2.64E-05	MEG	41.27	3308
AT4G37210	-0.07	0.678613728	0.928170644	PEG	0.52	8292	-0.01	0.980999063	0.9977839	PEG	0.01	7643	-0.02	0.962074964	1	PEG	0.03	7742	0.745375742	7892.3	AT4G37210.1	Tetratricopeptide repeat (TPR)-like superfamily protein	-0.07	0.776490726	0.822978979	PEG	0.43	13043.5
AT1G23330	0.06	0.784981264	0.954819617	MEG	0.33	9325.5	-0.04	0.83654638	0.986137578	PEG	0.16	6610	-0.12	0.74792537	1	PEG	1.50	7742	0.691466927	7892.5	AT1G23330.1	alpha/beta-Hydrolases superfamily protein	1.50	0.006351827	0.014580834	MEG	69.19	6023
AT4G19990	-0.05	0.87162727	0.976493674	PEG	0.23	10112.5	-0.07	0.730292354	0.970703423	PEG	0.51	5825	-0.03	0.929827562	1	PEG	0.11	7742	0.769821918	7893.2	AT4G19990.1	FAR1-related sequence 1	6.75	1.45E-05	5.72E-05	MEG	97.85	3503
AT4G28860	0.04	0.869936893	0.976493674	MEG	0.15	10112.5	-0.11	0.720356869	0.970703423	PEG	1.18	5825	0.18	0.600366837	1	MEG	3.08	7742	0.54833327	7893.2	AT4G28860.1	casein kinase I-like 4	NA	NA	NA	NA	NA	6913
AT2G45860	0.21	0.760401611	0.95043917	MEG	4.38	9075	0.14	0.874181083	0.991972801	MEG	1.83	6870.5	0.03	0.970143686	1	MEG	0.11	7742	0.539171267	7895.8	NA	NA	NA	NA	NA	NA	NA	6913
AT5G47090	0.01	0.983887511	0.997143083	MEG	0.00	11192	0.09	0.574444776	0.950990602	MEG	0.87	4753.5	-0.28	0.65923336	1	PEG	7.33	7742	0.581036323	7895.8	AT5G47090.1		0.33	0.38257797	0.4646862	MEG	10.01	11383
AT5G17190	-0.01	0.965941546	0.993700535	PEG	0.01	11030	0.18	0.602590606	0.955425707	MEG	3.26	4919	-0.07	0.832136299	1	PEG	0.51	7742	0.570416603	7897.0	AT5G17190.1		2.20	2.43E-12	2.04E-11	MEG	82.92	1652
AT3G22520	0.07	0.787648597	0.955660305	MEG	0.50	9348	-0.06	0.836283612	0.986123941	PEG	0.35	6607.5	0.17	0.646275198	1	MEG	2.75	7742	0.517662662	7899.2	NA	NA	0.55	0.013802535	0.028774706	MEG	23.33	6632
AT5G24710	0.05	0.806711485	0.962231949	MEG	0.26	9508	-0.05	0.813675369	0.98260687	PEG	0.23	6449.5	0.10	0.755200399	1	MEG	0.98	7742	0.568626719	7899.8	AT5G24710.1	Transducin/WD40 repeat-like superfamily protein	NA	NA	NA	NA	NA	6913
AT1G19480	0.01	0.961921667	0.993509801	MEG	0.01	10978.5	0.10	0.613824846	0.956384998	MEG	1.04	4980	-0.07	0.847524567	1	PEG	0.49	7742	0.552977737	7900.2	AT1G19480.1	DNA glycosylase superfamily protein	1.50	7.46E-07	3.58E-06	MEG	69.11	2885
AT4G27910	-0.10	0.843849184	0.971464728	PEG	0.97	9818	0.05	0.770260429	0.978493786	MEG	0.30	6142	0.95	0.230665538	1	MEG	47.41	7742	0.291892908	7900.7	AT4G27910.1	SET domain protein 16	0.35	0.716507953	0.774198641	MEG	10.84	12794
AT1G62820	-0.04	0.811145217	0.963984232	PEG	0.18	9539	-0.07	0.808475576	0.980947008	PEG	0.51	6421.5	0.04	0.894039718	1	MEG	0.16	7742	0.719021118	7900.8	AT1G62820.1	Calcium-binding EF-hand family protein	0.32	0.339387042	0.421802296	MEG	9.24	11124.5
AT5G54750	0.04	0.873069872	0.976553748	MEG	0.14	10141	-0.09	0.722918355	0.970703423	PEG	0.85	5825	0.02	0.963550653	1	MEG	0.03	7742	0.674583076	7902.7	AT5G54750.1	Transport protein particle (TRAPP) component	1.60	5.24E-10	3.53E-09	MEG	71.97	2052
AT1G61690	0.02	0.95004114	0.991921029	MEG	0.06	10869.5	0.17	0.628719302	0.958683819	MEG	2.70	5110	0.06	0.915443239	1	MEG	0.35	7742	0.49777124	7907.2	AT1G61690.1	phosphoinositide binding	0.98	5.94E-05	0.000210305	MEG	48.74	3904
AT1G69720	0.02	0.997351062	0.99976957	MEG	0.02	11323	0.41	0.566903309	0.948190986	MEG	14.58	4657.5	1.74	0.3766161	1	MEG	75.19	7742	0.298136768	7907.5	AT1G69720.1	heme oxygenase 3	1.95	0.000127738	0.000422918	MEG	79.18	4176
AT4G04200	0.00	0.988167768	0.9979936	PEG	0.00	11231	0.13	0.582363612	0.950990602	MEG	1.57	4753.5	0.17	0.6650908	1	MEG	2.84	7742	0.419576942	7908.8	AT4G04200.1	Microsomal signal peptidase 25 kDa subunit (SPC25)	0.73	0.000910243	0.002560012	MEG	34.59	4916
AT2G34660	0.10	0.821433427	0.967065794	MEG	1.05	9631	-0.07	0.797119898	0.980171397	PEG	0.54	6359	0.50	0.291086163	1	MEG	20.17	7742	0.354318518	7910.7	NA	NA	-0.98	6.35E-05	0.000223405	PEG	49.15	3930
AT5G43290	0.61	0.715152278	0.93606855	MEG	27.26	8665.5	-0.19	0.933694955	0.99534376	PEG	3.47	7328.5	-1.35	0.74086789	1	PEG	64.65	7742	0.644212394	7912.0	AT5G43290.1	WRKY DNA-binding protein 49	NA	NA	NA	NA	NA	6913
AT3G05840	0.00	0.998636638	0.99976957	PEG	0.00	11323	0.13	0.569526307	0.948716806	MEG	1.71	4674	0.10	0.760240699	1	MEG	1.04	7742	0.442466255	7913.0	NA	NA	2.92	0.001721252	0.004548554	MEG	89.47	5232
AT4G09320	-0.03	0.856301125	0.973487666	PEG	0.07	9963.5	-0.06	0.756959741	0.976219181	PEG	0.42	6034	0.02	0.942461331	1	MEG	0.05	7742	0.734133372	7913.2	AT4G09320.1	Nucleoside diphosphate kinase family protein	0.11	0.410905469	0.493243533	MEG	1.29	11518
AT1G09700	-0.13	0.765747404	0.951396999	PEG	1.65	9128.5	-0.09	0.879060152	0.991972801	PEG	0.89	6870.5	0.52	0.545506897	1	MEG	21.26	7742	0.579970352	7913.7	AT1G09700.1	dsRNA-binding domain-like superfamily protein	1.04	0.023098891	0.045171891	MEG	51.87	7070
AT1G55320	0.25	0.698444378	0.933096274	MEG	5.96	8495	-0.02	0.952624189	0.997141806	PEG	0.06	7505.5	1.08	0.171590106	1	MEG	54.00	7742	0.216300792	7914.2	AT1G55320.1	acyl-activating enzyme 18	NA	NA	NA	NA	NA	6913
AT2G20790	-0.10	0.696434549	0.933096274	PEG	0.99	8495	0.01	0.952883433	0.997141806	MEG	0.01	7505.5	-0.09	0.813673425	1	PEG	0.73	7742	0.759402201	7914.2	AT2G20790.1	clathrin adaptor complexes medium subunit family protein	1.90	0.016643344	0.033982523	MEG	78.25	6771
AT5G38960	-0.16	0.700555265	0.933096274	PEG	2.38	8495	0.03	0.963779106	0.997141806	MEG	0.08	7505.5	0.34	0.701963997	1	MEG	10.45	7742	0.620496828	7914.2	AT5G38960.1	RmlC-like cupins superfamily protein	NA	NA	NA	NA	NA	6913
AT1G26300	0.13	0.734036709	0.941585595	MEG	1.77	8846	-0.06	0.918032789	0.994808813	PEG	0.34	7159	0.23	0.700652518	1	MEG	5.14	7742	0.502088454	7915.7	AT1G26300.1	BSD domain-containing protein	1.61	0.059398931	0.102018586	MEG	72.06	8050
AT3G06590	0.10	0.73420841	0.941585595	MEG	0.91	8846	0.07	0.919671074	0.994808813	MEG	0.51	7159	0.77	0.177908364	1	MEG	37.24	7742	0.210419281	7915.7	NA	NA	NA	NA	NA	NA	NA	6913
AT1G30890	-0.06	0.766889811	0.95182663	PEG	0.31	9138.5	0.04	0.863194714	0.991972801	MEG	0.19	6870.5	-0.05	0.90551479	1	PEG	0.22	7742	0.696498652	7917.0	AT1G30890.1	Integral membrane HRF1 family protein	2.05	0.007895647	0.017681442	MEG	80.74	6174
AT5G16070	-0.11	0.712277471	0.935436303	PEG	1.13	8632	0.03	0.943629968	0.99618584	MEG	0.08	7379.5	0.00	0.992142247	1	MEG	0.00	7742	0.705751117	7917.8	AT5G16070.1	TCP-1/cpn60 chaperonin family protein	-0.28	0.324500649	0.406847748	PEG	7.44	11027
AT2G35630	-0.05	0.8873471	0.978919208	PEG	0.22	10298	0.10	0.710999055	0.969283247	MEG	0.99	5715.5	0.24	0.615944438	1	MEG	5.28	7742	0.469840639	7918.5	NA	NA	NA	NA	NA	NA	NA	6913
AT3G16590	0.25	0.686504829	0.930006165	MEG	5.98	8370.5	0.01	0.979814249	0.9977839	MEG	0.02	7643	1.12	0.167122258	1	MEG	55.77	7742	0.201785692	7918.5	NA	NA	NA	NA	NA	NA	NA	6913
AT3G15970	-0.06	0.80803302	0.963119462	PEG	0.35	9518	-0.06	0.820708077	0.984264867	PEG	0.39	6497	0.01	0.984546774	1	MEG	0.01	7742	0.742772873	7919.0	NA	NA	NA	NA	NA	NA	NA	6913
AT5G28740	-0.11	0.769059129	0.952857361	PEG	1.17	9155.5	-0.07	0.867967181	0.991972801	PEG	0.45	6870.5	-0.10	0.849236766	1	PEG	1.07	7742	0.781490361	7922.7	AT5G28740.1	Tetratricopeptide repeat (TPR)-like superfamily protein	0.46	0.20403627	0.281060622	MEG	17.22	10037
AT2G40815	-0.25	0.718538714	0.936718152	PEG	5.84	8699.5	-0.02	0.933869607	0.99534376	PEG	0.03	7328.5	0.10	0.931167822	1	MEG	1.09	7742	0.72023157	7923.3	NA	NA	1.04	0.240734201	0.32068514	MEG	51.77	10379
AT5G62460	0.04	0.847326638	0.971948697	MEG	0.15	9888	-0.08	0.771709176	0.978493786	PEG	0.70	6142	-0.04	0.907045792	1	PEG	0.17	7742	0.690044081	7924.0	AT5G62460.1	RING/FYVE/PHD zinc finger superfamily protein	0.04	0.941170622	0.956599649	MEG	0.17	13603
AT3G02760	-0.02	0.901809056	0.981332824	PEG	0.06	10416.5	-0.07	0.697332262	0.96735143	PEG	0.49	5615	0.09	0.785399698	1	MEG	0.84	7742	0.686710214	7924.5	NA	NA	-0.27	0.662221649	0.728101512	PEG	6.74	12574.5
AT2G19740	0.04	0.870617582	0.976493674	MEG	0.18	10112.5	-0.09	0.741010761	0.973271192	PEG	0.77	5932	-0.01	0.979665351	1	PEG	0.01	7742	0.685457782	7928.8	AT2G19740.1	Ribosomal protein L31e family protein	-0.66	0.008661541	0.019169916	PEG	30.30	6247
AT1G60890	0.03	0.9034412	0.981701413	MEG	0.12	10438	-0.12	0.69694814	0.96735143	PEG	1.39	5615	0.05	0.931787407	1	MEG	0.20	7742	0.680214764	7931.7	AT1G60890.1	Phosphatidylinositol-4-phosphate 5-kinase family protein	0.61	0.02408149	0.046802176	MEG	27.12	7113.5
AT4G35240	-0.11	0.729442134	0.939773432	PEG	1.12	8800	0.04	0.926048071	0.994850852	MEG	0.14	7253	0.27	0.509461002	1	MEG	7.00	7742	0.520636836	7931.7	AT4G35240.1	Protein of unknown function (DUF630 and DUF632)	2.17	3.86E-11	2.92E-10	MEG	82.42	1826
AT1G09960	0.00	0.989951412	0.998611826	PEG	0.00	11243.5	-0.18	0.588952712	0.951627666	PEG	3.20	4819	-0.09	0.771436278	1	PEG	0.86	7742	0.803995573	7934.8	AT1G09960.1	sucrose transporter 4	1.41	5.51E-08	3.05E-07	MEG	66.64	2498
AT1G55860	0.00	0.997060428	0.999704449	MEG	0.00	11313	0.10	0.579304949	0.950990602	MEG	1.09	4753.5	0.03	0.936855049	1	MEG	0.09	7742	0.495208673	7936.2	AT1G55860.1	ubiquitin-protein ligase 1	0.54	0.036542245	0.067096026	MEG	22.75	7530
AT5G16235	-0.01	0.963889293	0.993675518	PEG	0.00	11006	-0.08	0.621689406	0.95697429	PEG	0.59	5061	-0.10	0.792577725	1	PEG	1.03	7742	0.800107349	7936.3	AT5G16235.1	other RNA	NA	NA	NA	NA	NA	6913
AT4G15930	0.06	0.789132737	0.955943388	MEG	0.38	9368	-0.07	0.85176904	0.99014207	PEG	0.50	6700.5	-0.09	0.79162212	1	PEG	0.86	7742	0.679718463	7936.8	AT4G15930.1	Dynein light chain type 1 family protein	2.06	2.13E-21	3.28E-20	MEG	80.88	898
AT5G67480	0.08	0.679042016	0.928220485	MEG	0.60	8296.5	0.00	0.997486505	0.999737961	MEG	0.00	7780	-0.11	0.847164119	1	PEG	1.29	7742	0.588943128	7939.5	AT5G67480.1	BTB and TAZ domain protein 4	1.03	0.017872228	0.036231881	MEG	51.42	6820
AT1G71697	-0.24	0.686343919	0.930006165	PEG	5.47	8370.5	-0.01	0.987022687	0.997908496	PEG	0.01	7707	-0.12	0.871314913	1	PEG	1.41	7742	0.764417033	7939.8	AT1G71697.1	choline kinase 1	-0.37	0.527991611	0.606817291	PEG	11.83	12030
AT4G12710	0.14	0.818188966	0.966238151	MEG	1.94	9605	-0.11	0.817848739	0.984100475	PEG	1.19	6476.5	-0.73	0.381976617	1	PEG	34.70	7742	0.775170698	7941.2	AT4G12710.1	ARM repeat superfamily protein	0.17	0.766240215	0.815051332	MEG	2.93	12998
AT2G30410	0.08	0.707963895	0.934547097	MEG	0.69	8579.5	0.01	0.969196701	0.997141806	MEG	0.01	7505.5	0.24	0.525807789	1	MEG	5.41	7742	0.401398926	7942.3	NA	NA	NA	NA	NA	NA	NA	6913
AT4G18700	0.00	0.974679351	0.995326005	MEG	0.00	11105	-0.08	0.610881429	0.956384998	PEG	0.63	4980	-0.13	0.721430594	1	PEG	1.59	7742	0.801107798	7942.3	AT4G18700.1	CBL-interacting protein kinase 12	-3.05	1.64E-19	2.25E-18	PEG	90.28	1009
AT1G16040	0.03	0.93053066	0.988223287	MEG	0.09	10678	-0.13	0.658476565	0.96288166	PEG	1.74	5410	0.17	0.712380855	1	MEG	2.93	7742	0.623577691	7943.3	AT1G16040.1		NA	NA	NA	NA	NA	6913
AT5G08010	-0.02	0.930512108	0.988223287	PEG	0.05	10678	0.14	0.661435386	0.96288166	MEG	1.83	5410	0.16	0.671255419	1	MEG	2.47	7742	0.463702634	7943.3	AT5G08010.1		2.77	1.62E-09	1.05E-08	MEG	88.46	2138
AT4G04740	0.08	0.832112147	0.969934431	MEG	0.67	9730	0.07	0.804069378	0.980171397	MEG	0.48	6359	0.14	0.774132662	1	MEG	1.93	7742	0.48452919	7943.7	AT4G04740.1	calcium-dependent protein kinase 23	1.39	0.049180454	0.086565113	MEG	65.78	7855
AT5G14950	0.07	0.775876351	0.953852199	MEG	0.51	9226.5	0.05	0.866979709	0.991972801	MEG	0.22	6870.5	0.15	0.736789439	1	MEG	2.27	7742	0.473900045	7946.3	AT5G14950.1	golgi alpha-mannosidase II	0.47	0.368661338	0.450673003	MEG	17.98	11310
AT5G63380	0.13	0.797170253	0.958471957	MEG	1.74	9428.5	-0.09	0.845375379	0.987432912	PEG	0.87	6670.5	-0.31	0.587521868	1	PEG	8.99	7742	0.72606256	7947.0	AT5G63380.1	AMP-dependent synthetase and ligase family protein	0.04	0.943483317	0.957911954	MEG	0.15	13618
AT4G28080	0.03	0.875694092	0.976969321	MEG	0.11	10164	-0.07	0.742109397	0.973666061	PEG	0.44	5938.5	-0.11	0.738417331	1	PEG	1.16	7742	0.743869433	7948.2	AT4G28080.1	Tetratricopeptide repeat (TPR)-like superfamily protein	-2.10	0.000302068	0.0009362	PEG	81.55	4461
AT1G15480	-0.09	0.834094569	0.970342959	PEG	0.86	9751	-0.09	0.79807892	0.980171397	PEG	0.74	6359	0.34	0.547650867	1	MEG	10.12	7742	0.584368707	7950.7	AT1G15480.1	Tetratricopeptide repeat (TPR)-like superfamily protein	-0.73	0.301676179	0.384634347	PEG	34.77	10844
AT4G22220	-0.02	0.933788745	0.988459237	PEG	0.03	10709	-0.10	0.670720846	0.96288166	PEG	0.96	5410	-0.16	0.671947727	1	PEG	2.56	7742	0.822033541	7953.7	AT4G22220.1	SufE/NifU family protein	1.23	1.90E-08	1.10E-07	MEG	60.15	2381
AT1G60670	-0.07	0.747618425	0.946073734	PEG	0.47	8962.5	0.03	0.912820523	0.994808813	MEG	0.11	7159	-0.29	0.404544266	1	PEG	7.55	7742	0.814236308	7954.5	AT1G60670.1	Protein of unknown function (DUF3755)	0.97	0.189516251	0.264725368	MEG	48.28	9898
